aryne_ID,aryne_energy
aryne_790,-586.2632
aryne_791,-1259.2143
aryne_792,-602.2174
aryne_793,-602.1701
aryne_794,-1187.832
aryne_795,-941.1808
aryne_796,-469.2517
aryne_797,-677.3254
aryne_798,-638.0444
aryne_799,-1243.2339
aryne_800,-925.2339
aryne_801,-1032.2183
aryne_802,-1015.2288
aryne_803,-925.2374
aryne_804,-843.9193
aryne_805,-542.0492
aryne_806,-596.1125
aryne_807,-673.541
aryne_808,-1229.9505
aryne_809,-673.6803
aryne_810,-598.3427
aryne_811,-489.1096
aryne_812,-1036.1132
aryne_813,
aryne_814,-580.1154
aryne_815,-828.0029
aryne_816,-505.1028
aryne_817,-1040.0705
aryne_818,
aryne_819,-827.9963
aryne_820,-618.2052
aryne_821,
aryne_822,
aryne_823,-577.4228
aryne_824,-1154.7881
aryne_825,-829.1371
aryne_826,-827.8815
aryne_827,
aryne_828,-469.2675
aryne_829,-1362.987
aryne_830,-907.0306
aryne_831,-505.0721
aryne_832,-586.2627
aryne_833,-586.2432
aryne_834,-564.192
aryne_835,-489.0502
aryne_836,-1020.1017
aryne_837,-920.1953
aryne_838,-961.0011
aryne_839,-693.4284
aryne_840,-1434.202
aryne_841,-469.2091
aryne_842,-469.1442
aryne_843,
aryne_844,-925.2239
aryne_845,
aryne_846,
aryne_847,-598.4167
aryne_848,-906.8767
aryne_849,
aryne_850,-903.0464
aryne_851,
aryne_852,-394.0789
aryne_853,-394.0803
aryne_854,-394.0821
aryne_855,-829.1509
aryne_856,
aryne_857,-866.0356
aryne_858,-413.9502
aryne_859,-413.9552
aryne_860,-903.1043
aryne_861,-714.7558
aryne_862,
aryne_863,-489.0118
aryne_864,-920.1989
aryne_865,-752.835
aryne_866,
aryne_867,-847.8532
aryne_868,-598.4188
aryne_869,-634.2257
aryne_870,-523.2801
aryne_871,
aryne_872,
aryne_873,-1016.3681
aryne_874,-544.3191
aryne_875,-598.4954
aryne_876,-655.3061
aryne_877,-1016.2815
aryne_878,-957.1778
aryne_879,-831.8634
aryne_880,-925.2311
aryne_881,-925.2362
aryne_882,-698.7307
aryne_883,-697.3005
aryne_884,-1229.8818
aryne_885,
aryne_886,-473.0542
aryne_887,-473.0125
aryne_888,-657.6182
aryne_889,-936.1886
aryne_890,-429.8237
aryne_891,
aryne_892,-1111.2551
aryne_893,-811.9435
aryne_894,-544.3385
aryne_895,-502.3091
aryne_896,-394.1205
aryne_897,-394.125
aryne_898,-1000.3081
aryne_899,-564.1875
aryne_900,-1111.2556
