arene_ID,arene_smiles
arene_350,O=c1cc2nccnn2nn1
arene_351,O=c1nnn2ccc(=O)c(=O)n2o1
arene_352,O=c1[nH]c2[nH]cc[nH]c=2c1=O
arene_353,O=c1ccn2ccsc(=O)c2c1
arene_354,O=c1ccsc(=O)[nH]1
arene_355,O=c1ccc2sc(=O)c(=O)sc2s1
arene_356,O=c1ccc2ncncc2[nH]1
arene_357,O=c1ccc2onnc2s1
arene_358,O=c1oc2nsccn-2c(=O)c1=O
arene_359,O=c1ccn2ncsc2c1
arene_360,c1c[nH]n2cconc-2[nH]1
arene_361,O=c1[nH]n2[nH]ccon2[nH]1
arene_362,O=c1ccc2sncsc=2c1=O
arene_363,O=c1c(=O)n2[nH]ccsn2c1=O
arene_364,O=c1[nH]c2cc[nH]c2[nH]1
arene_365,c1coc2nonnn-2[nH]1
arene_366,O=c1ccsc2ocnc(=O)c12
arene_367,O=c1[nH]c2[nH]ccc(=O)c2s1
arene_368,O=c1ccc(=O)n2c(=O)c(=O)cc1-2
arene_369,O=c1cccc2occc(=O)n12
arene_370,O=c1c(=O)c(=O)c2ccccc2c1=O
arene_371,O=c1ccn2ocn[nH]n2[nH]1
arene_372,O=c1cnccs1
arene_373,O=c1nnc2ccnn2o1
arene_374,O=c1ccoc2cn[nH]c(=O)c12
arene_375,c1cn2snn[nH]n2s1
arene_376,O=c1ccc2ncnc(=O)n2[nH]1
arene_377,O=c1ccon2c(=O)scc12
arene_378,O=c1ccoc2cnnn12
arene_379,O=c1occn2ocn[nH]n12
arene_380,O=c1snc2ncccn12
arene_381,O=c1oc2sccc(=O)c2s1
arene_382,O=c1nccc2snnc(=O)n12
arene_383,O=c1ccon2[nH]nnsn12
arene_384,O=c1ccc2cnc(=O)sc2o1
arene_385,O=c1sc2occoc=2c1=O
arene_386,O=c1oc(=O)c2ccnc(=O)n2s1
arene_387,O=c1ccc2nc(=O)sc(=O)n2[nH]1
arene_388,O=c1ccc2noc(=O)n2s1
arene_389,O=c1nncc2ccncn12
arene_390,O=c1[nH]c2[nH]ccc2c(=O)o1
arene_391,O=c1ccn2nnoc2n1
arene_392,O=c1ccc2sc(=O)oc(=O)c2[nH]1
arene_393,O=c1ccc2oncsc=2c1=O
arene_394,O=c1nccc2ccnnn12
arene_395,O=c1[nH]n2c(=O)c(=O)ccn2c(=O)s1
arene_396,O=c1sncc2ncccc12
arene_397,c1cc2scnn2n1
arene_398,O=c1cnn2cc[nH]c(=O)c2c1
arene_399,O=c1nnn2occsn2[nH]1
arene_400,O=c1oc(=O)n2c(=O)ccon12
arene_401,O=c1[nH]c2nccn2s1
arene_402,O=c1ccn2ncccc2c1
arene_403,O=c1[nH]c2occoc=2c(=O)c1=O
arene_404,O=c1ncn2ccc(=O)n2[nH]1
arene_405,O=c1nnc2c(=O)sccc2s1
arene_406,O=c1cc2c(=O)ccsc2co1
arene_407,O=c1cccc2cc[nH]c(=O)n12
arene_408,O=c1sccc2n[nH]cc12
arene_409,O=c1oc(=O)c2occc(=O)c2s1
arene_410,O=c1on2occ[nH]n2s1
arene_411,c1cnoc1
arene_412,O=c1[nH]n2nccc2s1
arene_413,O=c1nc[nH]n2scc[nH]n12
arene_414,O=c1ccc2[nH]c(=O)c(=O)oc2o1
arene_415,c1ccn2onc[nH]n2c1
arene_416,O=c1nnn2ccc(=O)n2[nH]1
arene_417,c1cc2ccsc2s1
arene_418,c1cnc2nnnnc2n1
arene_419,O=c1ccn2[nH]ccon2s1
arene_420,O=c1ccoc2nc[nH]c12
arene_421,c1cc2nnnnc2[nH]1
arene_422,O=c1snnn2cccc12
arene_423,O=c1sccn2[nH]cnsn12
arene_424,O=c1cc[nH]c2ccnn12
arene_425,O=c1ccn2sc(=O)c(=O)[nH]c2c1
arene_426,O=c1ccc2coc(=O)c(=O)n2s1
arene_427,O=c1ccsn2sccon12
arene_428,O=c1nc2ccncn2c(=O)s1
arene_429,c1cc2cnnnc2[nH]1
arene_430,O=c1ccc2c(=O)sc(=O)c1=2
arene_431,c1cc2cocc2o1
arene_432,c1csc2[nH]nnoc=2[nH]1
arene_433,O=c1occc2sccc12
arene_434,O=c1nc2scc[nH]n-2c(=O)c1=O
arene_435,O=c1cc2ccon2c(=O)s1
arene_436,O=c1ocnn2[nH]ccsn12
arene_437,O=c1oc(=O)n2c(=O)cc[nH]n12
arene_438,O=c1onnc2ccnn12
arene_439,O=c1oc2ccnc(=O)n2o1
arene_440,O=c1ncn2occon2o1
arene_441,O=c1ccn2oc(=O)ncc2c1
arene_442,O=c1ccc2nc(=O)c(=O)nc-2c1=O
arene_443,O=c1[nH]c(=O)c2c(=O)occc2o1
arene_444,O=c1cc2nnccn2cn1
arene_445,c1cnn2nccc2n1
arene_446,O=c1ccc2ncc(=O)oc2o1
arene_447,O=c1ccc2occoc1=2
arene_448,c1cn2onnsc-2no1
arene_449,O=c1ccn2c(=O)cnn2[nH]1
arene_450,c1con2occn2[nH]1
arene_451,O=c1ncn2ccnnc2n1
arene_452,O=c1sccc2conc12
arene_453,O=c1nc2ccsn2c(=O)[nH]1
arene_454,O=c1ccc2ncoc(=O)c2[nH]1
arene_455,O=c1ccn2nnnnc2c1
arene_456,O=c1cc2cccnc2co1
arene_457,O=c1ncc2ccc(=O)sc2o1
arene_458,O=c1ccc2occc2s1
arene_459,O=c1ccoc2ncsc(=O)c12
arene_460,O=c1ccc2ccc(=O)oc2o1
