arene_id,arene_smiles,aryne_id,aryne_smiles
arene_4819,O=c1cn[nH]c2c(=O)occc12,aryne_5537,O=c1cn[nH]c2c(=O)oc#cc12
arene_4820,O=c1occn2c(=O)cnnc12,aryne_5538,O=c1oc#cn2c(=O)cnnc12
arene_4821,O=c1sccn2snn[nH]n12,aryne_5539,O=c1sc#cn2snn[nH]n12
arene_4822,c1n[nH]c2noccn-2[nH]1,aryne_5540,c1onc2[nH]nc[nH]n-2c#1
arene_4823,c1n[nH]c2csccn-2o1,aryne_5541,c1scc2[nH]ncon-2c#1
arene_4824,O=c1cnc2sccc(=O)c2s1,aryne_5542,O=c1cnc2sc#cc(=O)c2s1
arene_4825,c1nc2occn2n1,aryne_5543,c1oc2ncnn2c#1
arene_4826,O=c1[nH]ccs1,aryne_5544,O=c1[nH]c#cs1
arene_4827,O=c1cnn2ccnnc2c1,aryne_5545,O=c1cnn2c#cnnc2c1
arene_4828,O=c1ccc2oncsc1=2,aryne_5546,O=c1c#cc2oncsc1=2
arene_4829,O=c1[nH]c2ccsc2o1,aryne_5547,O=c1[nH]c2c#csc2o1
arene_4830,O=c1ccc2c(=O)[nH]cnc2o1,aryne_5548,O=c1c#cc2c(=O)[nH]cnc2o1
arene_4831,O=c1nc2ccncc2cs1,aryne_5549,O=c1nc2c#cncc2cs1
arene_4832,O=c1oc(=O)c2c(=O)ccoc2o1,aryne_5550,O=c1oc(=O)c2c(=O)c#coc2o1
arene_4833,O=c1[nH]c2[nH]cc[nH]c=2c(=O)c1=O,aryne_5551,O=c1[nH]c2[nH]c#c[nH]c=2c(=O)c1=O
arene_4834,O=c1ncn2c(=O)[nH]ccn12,aryne_5552,O=c1ncn2c(=O)[nH]c#cn12
arene_4835,O=c1ncn2occn12,aryne_5553,O=c1ncn2oc#cn12
arene_4836,O=c1cc2nnccn2c(=O)o1,aryne_5554,O=c1cc2nnc#cn2c(=O)o1
arene_4837,O=c1[nH]c(=O)n2ccc(=O)n2o1,aryne_5555,O=c1[nH]c(=O)n2c#cc(=O)n2o1
arene_4838,c1csc2connn-2[nH]1,aryne_5556,c1[nH]n2nnocc-2sc#1
arene_4839,O=c1ccc(=O)n2onnn12,aryne_5557,O=c1c#cc(=O)n2onnn12
arene_4840,O=c1[nH]c2ccoc(=O)c2sc1=O,aryne_5558,O=c1[nH]c2c#coc(=O)c2sc1=O
arene_4841,O=c1ccc2oncoc1=2,aryne_5559,O=c1c#cc2oncoc1=2
arene_4842,O=c1[nH]c2cc[nH]c(=O)c2oc1=O,aryne_5560,O=c1[nH]c2c#c[nH]c(=O)c2oc1=O
arene_4843,c1n[nH]n2ccsn2o1,aryne_5561,c1sn2ocn[nH]n2c#1
arene_4844,O=c1ccsn2sncsn12,aryne_5562,O=c1c#csn2sncsn12
arene_4845,c1ccc2sccc2c1,aryne_5563,c1cc2ccsc2cc#1
arene_4845,c1ccc2sccc2c1,aryne_5564,c1ccc2sccc2c#1
