bad_hetero_ID,no_arene_smiles
no_arene_219,O=c1cnn2c(=O)[nH]nnn2c1=O
no_arene_220,O=c1oc(=O)c2c(=O)cnoc2o1
no_arene_221,O=c1cc2[nH]cnn2c(=O)o1
no_arene_222,O=c1scc2onnn12
no_arene_223,O=c1cc2nnc(=O)sn2c(=O)s1
no_arene_224,O=c1[nH]n2c(=O)sc(=O)n2s1
no_arene_225,O=c1c(=O)c2n[nH]c(=O)n2c1=O
no_arene_226,O=c1[nH]c(=O)n2c(=O)c(=O)nnn2s1
no_arene_227,c1nsc2scnsc=2o1
no_arene_228,O=c1cc2c(=O)cnoc2cs1
no_arene_229,O=c1nc[nH]n2[nH]cn[nH]n12
no_arene_230,O=c1cc2c(=O)[nH]cnn2c(=O)o1
no_arene_231,O=c1scc2c(=O)snnn2c1=O
no_arene_232,O=c1[nH]cc2oc(=O)c(=O)on2c1=O
no_arene_233,O=c1on2c(=O)sc(=O)c(=O)n2oc1=O
no_arene_234,O=c1sc(=O)c(=O)n2cnscc1-2
no_arene_235,O=c1on2onnon2oc1=O
no_arene_236,O=c1cnn2c(=O)snnn12
no_arene_237,O=c1oc2[nH]nnc2sc1=O
no_arene_238,c1n[nH]n2[nH]nnsn12
no_arene_239,O=c1oc2nnoc2o1
no_arene_240,O=c1c(=O)c2ncnnc2c1=O
no_arene_241,O=c1cc2[nH]ncc(=O)n2cn1
no_arene_242,O=c1nc[nH]n2sncsn12
no_arene_243,O=c1cc2[nH]c(=O)ncn2cn1
no_arene_244,O=c1nnn2nnncc2n1
no_arene_245,O=c1[nH]cc2cnncn12
no_arene_246,O=c1cc2sc(=O)sc(=O)c2no1
no_arene_247,O=c1[nH]n2c(=O)c(=O)cnn2c(=O)o1
no_arene_248,O=c1nnc2snc[nH]c1=2
no_arene_249,O=c1cnn2c(=O)sc(=O)[nH]c2c1
no_arene_250,c1nnc2cocc2n1
no_arene_251,c1non2cnocc-2s1
no_arene_252,O=c1nn[nH]n2[nH]cn[nH]n12
no_arene_253,O=c1ncn2c(=O)c(=O)sc(=O)n2[nH]1
no_arene_254,O=c1cc2[nH]c(=O)[nH]c(=O)n2c(=O)[nH]1
no_arene_255,O=c1cnn2nnc(=O)n2s1
no_arene_256,c1nsn2scnn2s1
no_arene_257,O=c1nnc(=O)n2c(=O)ncsn12
no_arene_258,O=c1ncc2c(=O)c(=O)sc(=O)c=2c1=O
no_arene_259,O=c1c(=O)c(=O)c2c[nH]cc2c1=O
no_arene_260,c1nc2cnoc2o1
no_arene_261,O=c1oc(=O)n2oncn12
no_arene_262,O=c1nn[nH]n2nnnc12
no_arene_263,O=c1cnc2coc(=O)nc2[nH]1
no_arene_264,O=c1oncc2[nH]nnc12
no_arene_265,O=c1nnn2oc(=O)c(=O)[nH]n2c1=O
no_arene_266,c1nncn2onn[nH]n12
no_arene_267,c1nc2ocnc2o1
no_arene_268,O=c1nnc2c(=O)scnc2o1
no_arene_269,O=c1nc2sncc(=O)n2c(=O)[nH]1
no_arene_270,O=c1cnc2sc(=O)c(=O)sc2[nH]1
no_arene_271,O=c1[nH]c2cnsc(=O)c2sc1=O
no_arene_272,O=c1[nH]n2ocnn2c(=O)c1=O
no_arene_273,O=c1oc2cnoc2oc1=O
no_arene_274,O=c1[nH]n2c(=O)[nH]cc2sc1=O
no_arene_275,c1n[nH]c2[nH]nn[nH]c=2[nH]1
no_arene_276,O=c1oc(=O)c2c(=O)[nH]nnc2s1
no_arene_277,c1nncc2[nH]nnc12
no_arene_278,O=c1nnn2oncc(=O)n2c1=O
no_arene_279,O=c1nc2cnc(=O)[nH]n2c(=O)[nH]1
no_arene_280,O=c1nn[nH]c2nn[nH]c(=O)c12
no_arene_281,O=c1oc(=O)n2cnsn2c1=O
no_arene_282,O=c1nnn2onc[nH]n2o1
no_arene_283,O=c1ncc2c(=O)c(=O)c(=O)oc1=2
no_arene_284,O=c1[nH]c2cn[nH]c2s1
no_arene_285,c1n[nH]c2[nH]nnc12
no_arene_286,O=c1ncc2oc(=O)[nH]c2o1
no_arene_287,O=c1ncoc2nscc12
no_arene_288,O=c1ncsc2c(=O)sncc12
no_arene_289,O=c1[nH]c(=O)c2cn[nH]c2s1
no_arene_290,O=c1[nH]n2cnsc(=O)n2c(=O)c1=O
no_arene_291,O=c1cnon2nnc(=O)n12
no_arene_292,O=c1cn[nH]c2onnc12
no_arene_293,O=c1[nH]c(=O)n2c(=O)oc(=O)c(=O)n2s1
no_arene_294,O=c1[nH]c(=O)c2ncsc2o1
no_arene_295,O=c1[nH]c2coc(=O)n2sc1=O
no_arene_296,O=c1cn[nH]n2onnon12
no_arene_297,O=c1on2[nH]c(=O)c(=O)c(=O)n2s1
no_arene_298,c1nnn2snnc12
no_arene_299,O=c1oc(=O)c2oncc2o1
no_arene_300,O=c1[nH]c(=O)c2n[nH]c(=O)n2o1
no_arene_301,O=c1oc(=O)n2c(=O)nn[nH]n2c1=O
no_arene_302,O=c1nncc2snnn12
no_arene_303,O=c1ncc2sc(=O)oc2o1
no_arene_304,O=c1cncc2snnc(=O)n12
no_arene_305,O=c1[nH]c2c(=O)c(=O)c(=O)c2c(=O)s1
no_arene_306,O=c1nnc2[nH]cnsc=2c1=O
no_arene_307,O=c1nn[nH]n2c(=O)nnnc12
no_arene_308,c1snc2[nH]nnc12
no_arene_309,O=c1nnc2sc(=O)oc2o1
no_arene_310,n1nsn2nnsnc-2o1
no_arene_311,O=c1ncnc2ocnn12
no_arene_312,O=c1[nH]c2nnoc2s1
no_arene_313,O=c1sc(=O)c(=O)n2nnocc1-2
no_arene_314,O=c1cc2c(=O)cnsc2ns1
no_arene_315,c1onc2cnnnc12
no_arene_316,O=c1[nH]c(=O)n2nnnc2s1
no_arene_317,O=c1cnsc2nnnc(=O)n12
no_arene_318,O=c1snc2cncnn2c1=O
no_arene_319,O=c1nc2sc(=O)sc2co1
no_arene_320,O=c1[nH]c2nncc(=O)n2sc1=O
no_arene_321,c1nn2scn[nH]c-2no1
no_arene_322,O=c1ncc2nc(=O)sc(=O)n2[nH]1
no_arene_323,O=c1nnn2cnnnn12
no_arene_324,O=c1oc2c(=O)snnc2sc1=O
no_arene_325,O=c1nnn2[nH]cn[nH]n2[nH]1
no_arene_326,O=c1[nH]n2ncsc(=O)n2c(=O)c1=O
no_arene_327,O=c1ncc2snnoc=2c1=O
no_arene_328,O=c1on2c(=O)c(=O)[nH]c(=O)n2s1
no_arene_329,O=c1[nH]n2nc[nH]c(=O)n2c1=O
no_arene_330,O=c1nc2[nH]ncn2c(=O)s1
no_arene_331,O=c1ncc2ncsc2s1
no_arene_332,O=c1[nH]c2cncnc2[nH]c1=O
no_arene_333,O=c1oc2sncc(=O)c2s1
no_arene_334,O=c1cnn2c(=O)nnn2s1
no_arene_335,O=c1ncc2cocc2[nH]1
no_arene_336,c1nsc2nocc12
no_arene_337,O=c1nnc2c[nH]nc2o1
no_arene_338,c1noc2snnoc=2o1
no_arene_339,O=c1nnc2ncnn2s1
no_arene_340,O=c1nnc(=O)c2c(=O)[nH]c(=O)c1=2
no_arene_341,c1nsn2nconc-2[nH]1
no_arene_342,c1ncn2cnsc12
no_arene_343,O=c1cc2ncnnn2nn1
no_arene_344,O=c1cnc(=O)c2oncoc1=2
no_arene_345,O=c1sc2concn-2c(=O)c1=O
no_arene_346,O=c1[nH]c(=O)c2csc(=O)n2o1
no_arene_347,O=c1cnn2snnon2s1
no_arene_348,O=c1sc(=O)n2c(=O)cnnc2s1
no_arene_349,c1non2ncsn2s1
no_arene_350,O=c1sn2cn[nH]c(=O)n2c(=O)c1=O
no_arene_351,O=c1oc2nnsc(=O)c2oc1=O
no_arene_352,O=c1sn2nnnnn2c1=O
no_arene_353,O=c1cnc2cocc2[nH]1
no_arene_354,O=c1[nH]c2[nH]nnoc=2c(=O)c1=O
no_arene_355,O=c1cc2ocnn2cn1
no_arene_356,c1nc2cncn2[nH]1
no_arene_357,O=c1[nH]c(=O)n2scnn12
no_arene_358,O=c1[nH]c(=O)n2nnonc1-2
no_arene_359,O=c1[nH]c2cn[nH]c(=O)c2c(=O)o1
no_arene_360,O=c1ncn2c(=O)scnn2c1=O
no_arene_361,O=c1sc2scnsc=2c(=O)c1=O
no_arene_362,O=c1ncncs1
no_arene_363,c1n[nH]c2snnsc=2s1
no_arene_364,O=c1nnn2cnc(=O)n2s1
