arene_ID,arene_energy
arene_1101,-716.1093
arene_1102,-470.5123
arene_1102,-470.5123
arene_1103,-942.5269
arene_1104,-540.6195
arene_1105,-942.5074
arene_1106,-678.8219
arene_1107,-718.4809
arene_1108,-522.4156
arene_1109,-523.5945
arene_1110,-658.9078
arene_1111,-813.3248
arene_1112,-824.2904
arene_1113,-850.2846
arene_1114,-1017.7558
arene_1115,-503.6305
arene_1116,-699.5379
arene_1117,
arene_1118,-508.6307
arene_1119,-1344.4662
arene_1120,-567.7943
arene_1121,-924.272
arene_1122,-603.694
arene_1122,-603.694
arene_1123,-1344.4138
arene_1124,-470.6009
arene_1125,-470.5064
arene_1125,-470.5064
arene_1126,-565.5756
arene_1127,-1319.6137
arene_1128,-587.6265
arene_1128,-587.6265
arene_1129,
arene_1130,-1157.2154
arene_1130,-1157.2154
arene_1131,-490.4461
arene_1132,-946.3892
arene_1133,-636.7966
arene_1134,
arene_1135,-678.8501
arene_1136,
arene_1137,-926.5801
arene_1138,-470.5642
arene_1139,
arene_1140,-506.4023
arene_1141,-921.5326
